"#energy"  0.03485074626865672 
"#dncleak"  0.04455223880597015 
"#trumppence16"  0.29828358208955225 
"#unstable"  0.00044776119402985075 
"#hillno"  0.002537313432835821 
"#jillnothill"  0.024029850746268656 
"#demexit"  0.028432835820895522 
"#crookedmedia"  0.0019402985074626865 
"#climate"  0.08567164179104478 
"#drought"  0.003880597014925373 
"#globalwarming"  0.005671641791044776 
"#stopinjustice"  0 
"#nsa"  0.013880597014925373 
"#occupy"  0.008134328358208955 
"#occupywallst"  0.004402985074626865 
"#occupywallstreet"  0.0033582089552238806 
"#banksters"  0.0014925373134328358 
"#banks"  0.007761194029850746 
"#brexit"  0.09447761194029851 
"#lloydblankfein"  0 
"#jpmorgan"  0.00029850746268656717 
"#fintech"  0.0591044776119403 
"#jamiedimon"  0.00014925373134328358 
"#wallstreet"  0.005373134328358209 
"#middleclass"  0.00044776119402985075 
"#climatechange"  0.060746268656716416 
"#education"  0.10373134328358209 
"#blm"  0.044402985074626866 
"#foreclosure"  0.0005223880597014925 
"#mrrobot"  0.02126865671641791 
"#assange"  0.005746268656716418 
"#hillary4prison"  0.01626865671641791 
"#privacyshield"  0.00029850746268656717 
"#cyberattacks"  0.0011940298507462687 
"#surveillance"  0.004328358208955224 
"#snowden"  0.004925373134328359 
"#socialgood"  0.0017164179104477613 
"#blacklivesmatter"  0.12350746268656716 
"#crookedhillary"  0.14626865671641792 
"#poverty"  0.00835820895522388 
"#americafirst"  0.07402985074626865 
"#ttip"  0.007611940298507463 
"#trade"  0.007313432835820896 
"#walmart"  0.008134328358208955 
"#globalization"  0.0012686567164179104 
"#msm"  0.03477611940298508 
"#freetrade"  0.0009701492537313432 
"#sustainable"  0.007686567164179104 
"#fairtrade"  0.005671641791044776 
"#RiggedSystem"  0.008955223880597015 
"#pension"  0.0017164179104477613 
"#socialism"  0.005970149253731343 
"#nevertrump"  0.19895522388059703 
"#neverhillary"  0.23082089552238805 
"#WWE"  0.18014925373134327 
"#uniteblue"  0.04708955223880597 
"#RAW"  0.038880597014925376 
"#smackdown"  0.005074626865671642 
"#policestate"  0.004328358208955224 
"#bigbrother"  0.008880597014925374 
"#racism"  0.013582089552238805 
"#police"  0.029104477611940297 
"#wrestling"  0.1667910447761194 
"#AllLivesDidntMatter"  0.00007462686567164179 
"#poor"  0.0032835820895522386 
"#donaldtrumphair"  0 
"#conservativepolitics"  0 
"#ATimeForTruth"  0.00007462686567164179 
"#sonsofliberty"  0.00014925373134328358 
"#inawe"  0.00014925373134328358 
"#imcrying"  0 
"#BernItDown"  0.00014925373134328358 
"#unions"  0.0015671641791044776 
"#fear"  0.020895522388059702 
"#foundingfathers"  0.00014925373134328358 
"#manufacturingjobs"  0.00007462686567164179 
"#takebackamerica"  0.00007462686567164179 
"#republicanparty"  0.007761194029850746 
"#freemarket"  0.00044776119402985075 
"#ronaldreagan"  0.0009701492537313432 
"#LoveWins"  0.02626865671641791 
"#candidate"  0.0005970149253731343 
"#Sanders2016"  0.001044776119402985 
"#WhichHillary"  0.00007462686567164179 
"#impeachobama"  0.004328358208955224 
"#prosperity"  0.001417910447761194 
"#equalpay"  0.0016417910447761193 
"#secondamendment"  0.0005970149253731343 
"#gunrights"  0.0012686567164179104 
"#medicare"  0.002835820895522388 
"#rights"  0.0029850746268656717 
"#Drumpf"  0.0034328358208955225 
"#socialsecurity"  0.003208955223880597 
"#progressive"  0.009776119402985074 
"#infrastructure"  0.003507462686567164 
"#capitalism"  0.005074626865671642 
"#whitehouse"  0.003656716417910448 
"#patriot"  0.005671641791044776 
"#conservatives"  0.004776119402985075 
"#constitution"  0.006716417910447761 
"#independent"  0.00917910447761194 
"#proudamerican"  0.0005223880597014925 
"#stophillary"  0.006194029850746269 
"#senate"  0.0016417910447761193 
"#libertarian"  0.009776119402985074 
"#2016Election"  0.0026865671641791043 
"#political"  0.007462686567164179 
"#liberals"  0.006492537313432836 
"#NotMeUs"  0.002835820895522388 
"#bernie2016"  0.002164179104477612 
"#country"  0.024850746268656715 
"#republicans"  0.014701492537313433 
"#president"  0.015298507462686567 
"#Sanders"  0.0026865671641791043 
"#liberty"  0.009253731343283582 
"#teaparty"  0.02007462686567164 
"#guncontrol"  0.008208955223880597 
"#donate"  0.015373134328358209 
"#congress"  0.014104477611940298 
"#economy"  0.024850746268656715 
"#democrats"  0.03208955223880597 
"#power"  0.0626865671641791 
"#Hillary2016"  0.036417910447761194 
"#independence"  0.005970149253731343 
"#StillSanders"  0.005298507462686567 
"#conservative"  0.010522388059701493 
"#support"  0.06708955223880597 
"#Election2016"  0.041940298507462684 
"#BernieSanders"  0.010074626865671642 
"#nra"  0.035522388059701496 
"#DonaldTrump"  0.08328358208955224 
"#politics"  0.046492537313432836 
"#republican"  0.03716417910447761 
"#freedom"  0.03805970149253731 
"#democrat"  0.049925373134328356 
"#makeamericagreatagain"  0.09320895522388059 
"#bernieorbust"  0.016567164179104477 
"#god"  0.10335820895522388 
"#gun"  0.0385820895522388 
"#obama"  0.12059701492537313 
"#FeelTheBern"  0.023582089552238807 
"#ImWithHer"  0.165 
"#HillaryClinton"  0.1423134328358209 
"#gop"  0.11791044776119403 
"#america"  0.1742537313432836 
"#usa"  1 
"#bernie"  0.03537313432835821 
"#hillary"  0.5259701492537313 
"#Trump2016"  0.3608955223880597 
"#jobs"  0.8115671641791045
